"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Main page menu","","0","0","0","0","1"
"","Transaction: request","","0","0","0","0","1"
"","Transaction: payment","","0","0","0","0","1"
"","Bank tips","","0","0","0","0","1"
"","Valid login into secure area","","0","0","0","0","1"
"","Registration","","0","0","0","0","1"
"","""Get started"" modal","","0","0","0","0","1"
"","Bank settings","","0","0","0","0","1"
"","Registration with existing user data","","0","0","0","0","1"
"","Invalid login with error message","","0","0","0","0","1"
"","Login attempt with incomplete credentials","","0","0","0","0","1"
"","Comments","","0","0","0","0","1"
"","Cross-links between authorization pages","","0","0","0","0","1"
"","Main page tabs","","0","0","0","0","1"
"","Notifications","","0","0","0","0","1"
"","User settings","","0","0","0","0","1"
"","Transaction buttons","","0","0","0","0","1"
"","Header links","","0","0","0","0","1"
"","""Sign in"" page footer link","","0","0","0","0","1"
"","Attempt to enter secure area without authorization","","0","0","0","0","1"
