"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Fri Dec 15 16:41:56 UTC 2023","Fri Dec 15 16:42:55 UTC 2023","59160","","Main page menu","","","","""before all"" hook for Main page menu",""
"unknown","Fri Dec 15 16:52:18 UTC 2023","Fri Dec 15 16:53:17 UTC 2023","59383","","Transaction: request","","","","""before all"" hook for Transaction: request",""
"unknown","Fri Dec 15 16:51:15 UTC 2023","Fri Dec 15 16:52:15 UTC 2023","59438","","Transaction: payment","","","","""before all"" hook for Transaction: payment",""
"unknown","Fri Dec 15 16:35:42 UTC 2023","Fri Dec 15 16:36:41 UTC 2023","59395","","Bank tips","","","","""before all"" hook for Bank tips",""
"unknown","Fri Dec 15 16:40:54 UTC 2023","Fri Dec 15 16:41:53 UTC 2023","59325","","Valid login into secure area","","","","""before all"" hook for Valid login into secure area",""
"unknown","Fri Dec 15 16:46:03 UTC 2023","Fri Dec 15 16:47:03 UTC 2023","59480","","Registration","","","","""before all"" hook for Registration",""
"unknown","Fri Dec 15 16:42:58 UTC 2023","Fri Dec 15 16:43:58 UTC 2023","59358","","""Get started"" modal","","","","""before all"" hook for ""Get started"" modal",""
"unknown","Fri Dec 15 16:34:40 UTC 2023","Fri Dec 15 16:35:39 UTC 2023","59283","","Bank settings","","","","""before all"" hook for Bank settings",""
"unknown","Fri Dec 15 16:45:03 UTC 2023","Fri Dec 15 16:46:00 UTC 2023","57079","","Registration with existing user data","","","","""before all"" hook for Registration with existing user data",""
"unknown","Fri Dec 15 16:39:51 UTC 2023","Fri Dec 15 16:40:51 UTC 2023","59175","","Invalid login with error message","","","","""before all"" hook for Invalid login with error message",""
"unknown","Fri Dec 15 16:38:49 UTC 2023","Fri Dec 15 16:39:48 UTC 2023","59358","","Login attempt with incomplete credentials","","","","""before all"" hook for Login attempt with incomplete credentials",""
"unknown","Fri Dec 15 16:36:44 UTC 2023","Fri Dec 15 16:37:44 UTC 2023","59274","","Comments","","","","""before all"" hook for Comments",""
"unknown","Fri Dec 15 16:33:37 UTC 2023","Fri Dec 15 16:34:36 UTC 2023","59538","","Cross-links between authorization pages","","","","""before all"" hook for Cross-links between authorization pages",""
"unknown","Fri Dec 15 16:49:10 UTC 2023","Fri Dec 15 16:50:10 UTC 2023","59396","","Main page tabs","","","","""before all"" hook for Main page tabs",""
"unknown","Fri Dec 15 16:44:01 UTC 2023","Fri Dec 15 16:45:00 UTC 2023","59313","","Notifications","","","","""before all"" hook for Notifications",""
"unknown","Fri Dec 15 16:53:21 UTC 2023","Fri Dec 15 16:54:20 UTC 2023","59672","","User settings","","","","""before all"" hook for User settings",""
"unknown","Fri Dec 15 16:50:13 UTC 2023","Fri Dec 15 16:51:12 UTC 2023","59192","","Transaction buttons","","","","""before all"" hook for Transaction buttons",""
"unknown","Fri Dec 15 16:37:47 UTC 2023","Fri Dec 15 16:38:46 UTC 2023","59152","","Header links","","","","""before all"" hook for Header links",""
"unknown","Fri Dec 15 16:48:08 UTC 2023","Fri Dec 15 16:49:07 UTC 2023","59302","","""Sign in"" page footer link","","","","""before all"" hook for ""Sign in"" page footer link",""
"unknown","Fri Dec 15 16:47:06 UTC 2023","Fri Dec 15 16:48:05 UTC 2023","59372","","Attempt to enter secure area without authorization","","","","should redirect to ""sign in""",""
